Day,Inun
1,204
9,439
10,500
12,524
13,285
14,243
19,225
20,285
29,854
30,610
32,1871
33,2183
64,675
67,392
68,519
69,292
70,511
71,455
91,354
92,302
96,347
97,505
98,1189
99,5346
100,6184
101,4029
102,2169
103,1613
104,1102
105,679
106,203
109,271
110,2743
111,3862
112,2148
113,2601
114,2244
115,926
116,279
145,765
146,2356
147,3040
148,1847
149,1089
150,550
183,226
248,430
249,804
292,274
293,910
294,685
297,207
299,1449
300,3256
301,645
304,2029
305,4853
306,4216
307,2360
308,825
311,623
312,3009
313,2802
314,1256
315,427
316,346
323,621
328,448
344,245
352,286
355,629
356,1388
357,481
360,553
361,2196
362,295
368,211
378,636
379,1124
384,238
385,736
393,1582
394,3422
395,3199
396,1682
397,1321
398,5187
399,5953
400,4661
401,1627
402,401
412,1125
413,1173
414,1424
415,1213
416,1053
417,828
418,237
424,892
425,1176
426,211
436,731
460,277
461,1837
462,317
463,223
464,934
468,439
469,2267
470,1844
471,888
472,401
568,511
569,1335
570,491
572,741
573,307
614,240
663,247
666,436
669,426
670,1216
671,804
672,304
673,939
674,277
679,404
680,857
681,1209
682,1381
683,523
684,316
685,1233
686,1618
687,452
689,714
690,2005
691,1189
692,395
705,574
706,238
707,484
711,1261
714,630
715,321
716,346
717,1205
718,1323
719,406
720,678
721,1068
722,2257
723,2676
724,1740
725,446
737,858
738,2171
739,4137
740,1217
741,215
748,894
749,3313
750,2497
751,363
754,900
755,1380
761,284
763,1028
764,2751
765,2050
766,1906
767,396
768,337
769,285
770,450
771,1143
772,629
775,217
776,917
777,1048
778,242
791,203
792,1224
824,282
825,427
826,293
861,517
868,260
869,442
871,343
878,347
879,551
881,891
882,2433
883,877
884,303
896,496
897,210
908,525
909,213
912,1434
913,631
1014,200
1042,485
1043,743
1044,236
1045,423
1047,632
1048,2043
1049,3762
1050,1500
1051,1344
1052,1802
1090,306
1091,700
1102,357
1103,2170
1104,761
1105,207
1108,670
1109,774
1113,638
1114,1305
1115,1751
1116,1040
1117,422
1118,528
1119,356
1121,1300
1122,2057
1123,501
1124,977
1125,2273
1126,1861
1127,903
1128,523
1131,287
1132,329
1136,459
1137,542
1138,1638
1139,345
1142,473
1151,1205
1152,3251
1153,2772
1154,2326
1155,1816
1156,850
1157,1003
1158,1726
1159,1690
1160,1985
1161,2339
1162,2956
1163,3428
1164,2116
1165,757
1166,240
1167,259
1168,208
1209,376
1210,642
1211,1183
1212,1012
1213,757
1214,443
1215,205
1373,458
1390,237
1392,205
1393,372
1405,424
1418,522
1419,313
1420,220
1421,554
1424,1311
1425,733
1426,239
1432,309
1433,4314
1434,4882
1435,1319
1439,1642
1440,2764
1441,1158
1442,741
1443,210
1445,619
1446,918
1447,991
1448,1071
1449,1306
1450,904
1451,739
1452,2310
1453,5428
1454,5946
1455,2838
1456,849
1457,1638
1458,3166
1459,768
1460,248
1462,322
1467,734
1468,960
1469,205
1470,411
1477,290
1478,245
1512,382
1513,1104
1514,228
1521,981
1522,853
1523,273
1593,374
1648,234
1649,1354
1650,357
1698,209
1699,902
1708,363
1718,724
1719,1100
1727,486
1742,249
1752,353
1753,1209
1754,1280
1755,2491
1756,2840
1757,1822
1758,504
1765,376
1769,735
1770,426
1771,682
1803,230
1804,482
1826,440
1827,1122
1828,1124
1829,347
1831,1269
1832,1252
1833,400
1845,1385
1846,4445
1847,4007
1848,729
1849,1151
1850,1747
1851,3301
1852,1698
1853,550
1858,877
1859,977
1863,205
1864,500
1865,458
1866,1739
1867,521
1868,464
1869,959
1870,1267
1871,561
1875,351
1876,458
1877,1164
1878,389
1885,415
1886,756
1887,554
1888,300
1889,510
1890,315
1937,1076
1938,229
1961,228
1962,1093
1963,1725
1964,910
1965,376
1966,204
1996,216
1997,386
2079,300
2093,937
2094,5395
2095,1966
2096,570
2102,277
2161,486
2165,275
2169,226
2170,1702
2171,235
