gauge	istat	jstat
01001	326	295
02001	301	333
02002	289	346
03001	258	343
03002	249	359
03003	240	350
03004	248	348
03005	258	353
03006	232	340
03803	255	333
04001	248	396
04002	257	383
04003	265	380
04004	245	393
04005	229	398
04006	220	391
04007	240	389
04009	250	392
04010	223	399
04011	221	399
05001	243	410
05002	241	410
05003	235	419
05004	232	422
05802	233	411
06001	264	410
06003	242	434
06004	231	450
06006	238	433
06007	265	408
06008	245	420
06009	241	433
06010	229	450
06011	239	443
06012	239	420
06013	268	406
07001	282	418
07002	302	392
07003	321	387
07004	289	396
07005	301	402
07006	314	402
07007	315	393
07008	269	416
07009	304	396
07010	299	393
07011	314	393
07804	305	393
08001	328	407
08002	289	442
08003	276	451
08004	319	415
08005	295	432
08006	332	400
08007	270	453
08008	279	451
08009	298	426
08010	305	424
08011	321	421
08013	286	447
08015	337	411
08016	319	432
08018	317	433
08019	316	434
08021	303	435
08807	263	457
09001	354	405
09002	370	401
09003	349	399
09004	353	413
09005	339	421
09006	351	385
09007	362	405
09008	361	386
09009	373	401
09010	352	410
10001	393	419
10002	410	402
10003	395	420
10031	400	404
11001	389	436
11002	376	430
11003	357	433
11004	372	425
11005	337	438
11006	333	441
11801	377	428
12001	364	455
12002	380	452
12003	335	454
12004	333	455
12005	336	457
12006	335	452
12007	311	461
12008	369	458
12009	362	468
12010	353	451
13001	382	477
13002	366	483
13003	360	491
13004	339	492
13005	366	501
13007	369	485
13008	361	491
13009	360	482
13010	364	508
13012	338	486
13801	364	509
13802	364	485
14001	343	534
14002	349	519
14005	344	529
14006	357	514
14010	339	529
15001	319	485
15003	310	511
15004	329	494
15005	327	494
15006	314	515
15007	292	497
15008	335	502
15010	331	503
15011	278	502
15012	295	493
15013	306	524
15014	305	487
15015	289	519
15016	278	505
15017	298	510
15018	254	506
15021	318	510
15023	301	509
15024	256	519
15025	318	503
15028	309	519
15029	325	502
15032	307	517
15034	290	487
15035	268	492
15038	250	494
15039	291	479
15041	262	503
15045	294	493
15809	323	490
16001	293	534
16002	275	529
16003	277	529
16004	304	532
16007	298	534
17001	284	569
17002	338	550
17003	283	570
17004	333	551
17005	296	571
17006	278	566
17008	312	549
17014	318	551
17015	312	546
17806	318	551
18001	281	544
18002	287	554
18003	273	549
18005	279	551
18007	301	548
18008	259	540
18010	271	554
18012	274	549
18013	293	558
18014	281	561
18015	261	544
18022	250	549
19001	318	575
19002	300	585
19003	301	587
19004	325	589
19005	310	581
19006	324	577
19007	334	579
19008	333	588
19010	327	580
19011	333	583
19012	321	582
19014	311	578
19017	317	577
19020	295	585
19021	335	582
20001	359	574
20002	350	570
20003	346	582
20004	361	569
20005	347	582
20006	365	574
20007	352	580
20806	364	573
20807	369	577
21001	309	630
21002	366	587
21003	327	611
21005	321	611
21006	350	617
21007	348	620
21008	371	622
21009	391	602
21010	359	618
21011	343	622
21012	352	635
21013	348	613
21014	312	623
21015	357	611
21016	394	587
21017	324	638
21018	321	610
21019	322	614
21020	331	626
21021	375	615
21022	388	596
21023	384	610
21024	366	630
21025	364	626
21026	328	637
21027	383	598
21030	323	627
21031	393	611
21032	392	619
21034	329	626
21805	383	595
21806	391	608
22001	423	647
22002	388	642
22004	421	637
22006	425	671
22007	418	665
22008	393	643
22009	406	649
22801	409	679
23001	404	689
23002	404	699
23003	390	676
23004	386	686
23005	378	664
23006	368	689
23007	416	693
23008	387	667
23009	372	705
23010	380	662
23011	365	656
23013	379	693
23014	363	657
23015	393	677
23016	426	683
23017	426	692
23022	372	663
23023	404	689
23033	387	656
24001	426	713
24002	422	721
24003	398	712
24004	411	718
24005	426	711
24006	395	710
24007	417	704
24008	417	719
24009	429	700
24011	385	712
25001	427	737
25002	393	724
25004	429	737
25005	444	738
25006	404	738
25007	428	740
25008	405	734
25009	436	739
25010	426	736
25011	386	719
25012	385	719
25013	441	727
25015	428	725
25018	395	725
25019	459	742
25020	431	726
25021	433	722
25022	393	732
25023	381	721
25025	393	733
25028	399	721
25029	447	740
26002	508	800
26004	516	783
26005	513	783
26008	490	818
26012	479	813
26013	502	795
26802	490	783
26803	502	791
27001	443	798
27002	443	804
27003	454	825
27004	436	829
27005	415	782
27006	439	860
27007	435	783
27008	442	776
27009	456	795
27010	464	757
27011	422	801
27012	398	820
27013	429	855
27014	475	773
27015	471	796
27016	425	851
27017	429	860
27019	403	834
27020	424	845
27021	458	846
27022	443	858
27023	436	844
27024	414	749
27025	444	865
27026	440	877
27027	412	802
27028	429	817
27029	412	829
27030	448	848
27031	418	831
27032	403	785
27034	419	764
27035	402	805
27036	478	780
27038	478	766
27040	445	876
27041	474	792
27042	471	765
27043	410	801
27044	473	803
27048	499	764
27049	469	771
27050	487	743
27052	438	875
27053	423	790
27054	466	761
27055	456	762
27056	480	768
27057	474	767
27059	430	779
27060	451	789
27061	414	834
27062	448	795
27064	455	834
27065	414	835
27066	439	858
27067	436	865
27069	438	766
27070	399	799
27071	443	777
27072	407	810
27073	495	770
27074	423	829
27075	431	760
27076	478	806
27077	416	814
27079	440	826
27080	439	822
27081	436	822
27083	461	797
27084	402	806
27085	443	774
27086	431	780
27087	483	773
27088	401	824
27089	449	807
27090	422	751
27091	440	798
27092	487	742
27095	481	765
27096	399	785
27835	425	830
27841	474	792
27858	481	778
27861	478	806
28001	421	865
28002	412	932
28003	417	959
28004	421	958
28005	418	940
28006	400	926
28007	444	921
28008	412	910
28009	462	911
28010	436	913
28011	431	891
28012	413	933
28014	398	929
28015	471	861
28016	464	861
28018	423	921
28019	423	930
28020	411	911
28021	444	918
28022	481	891
28023	419	881
28024	463	938
28025	433	951
28026	428	948
28027	449	915
28028	461	940
28029	451	923
28030	447	933
28031	414	900
28032	456	883
28033	406	883
28035	456	912
28036	470	875
28037	421	868
28038	411	890
28039	407	967
28040	390	904
28041	409	900
28043	426	881
28044	458	879
28045	468	878
28046	416	899
28047	462	863
28048	438	898
28049	457	871
28050	466	849
28052	389	923
28053	392	936
28054	457	952
28055	433	906
28056	459	938
28058	419	904
28059	456	887
28060	465	902
28061	399	898
28066	418	963
28067	444	918
28068	424	886
28070	426	870
28072	472	896
28073	418	860
28074	450	924
28075	417	855
28079	388	921
28080	421	958
28082	454	953
28083	389	915
28084	404	958
28085	436	913
28086	459	953
28087	407	959
28091	463	863
28093	457	932
28094	422	963
28095	420	946
28101	398	958
28109	379	920
28112	409	908
28113	446	896
28115	457	887
28116	467	880
28117	433	895
28118	465	880
28871	449	915
28872	456	912
28873	468	878
29001	525	849
29002	542	872
29003	534	863
29005	504	860
29009	503	863
30001	484	904
30002	507	874
30003	525	888
30004	540	883
30005	493	918
30011	525	870
30012	513	877
30013	504	881
30014	512	919
30015	493	921
30017	493	927
30018	494	907
30033	493	896
30803	532	887
30811	525	888
30812	493	918
30813	493	918
31001	487	957
31004	509	943
31005	497	950
31006	503	940
31007	495	951
31008	507	933
